VzTY2r_full_1,VOvSRA_coarse_10,VXbSSP_fines_10,V61Ydj_coarse_11,VeQ9L1_fines_11,VCUunK_coarse_12,V7hPj4_fines_12,V3dbTD_coarse_13,VuIWY2_fines_13,VB0RPe_coarse_14,VtMN8k_fines_14,VS73LA_coarse_15,Vs1HCl_fines_15,VlgAq6_full_2,V2HVPi_full_3,VlSxxw_coarse_4,VVDr9K_fines_4,VH4d0y_coarse_5,VLPDlw_fines_5,VfB9fU_coarse_6,VKmjuJ_fines_6,VWI0UR_coarse_7,VAxeh1_fines_7,VspLi7_full_8,Vky92N_coarse_9,VCbAd6_fines_sam_9,VPXazz_fines_stephen_9
40,21,70,78,57,38,13,63,55,7,63,63,32,2,55,53,67,7,36,34,2,58,21,65,112,49,47
4,52,23,130,35,78,13,13,55,3,41,77,53,4,46,35,40,110,28,75,45,41,15,94,48,22,24
73,27,8,13,16,52,61,62,39,40,23,91,41,5,42,8,32,61,84,81,21,39,21,26,49,5,65
90,15,52,17,45,142,64,47,19,4,11,64,25,54,62,5,15,38,45,43,18,38,21,55,28,77,62
40,55,24,22,48,88,18,72,73,46,64,53,84,11,35,67,13,113,45,23,81,196,22,70,103,40,40
3,26,42,126,73,21,38,180,23,109,67,87,54,50,39,3,43,41,71,31,34,58,32,13,71,6,60
6,28,7,39,47,63,48,36,50,32,53,28,52,26,38,51,49,46,53,52,24,72,34,53,74,32,58
1,30,28,25,53,47,79,49,22,85,15,68,58,58,36,11,11,123,11,122,36,45,23,72,112,108,32
65,87,7,71,40,65,10,37,14,55,40,85,38,31,17,42,60,53,40,104,11,30,20,60,46,40,170
92,33,33,56,38,39,59,102,10,45,70,119,23,83,16,32,12,157,76,71,14,43,61,32,52,25,59
149,16,5,70,23,81,43,21,16,121,13,43,52,13,62,93,56,42,56,33,22,70,47,63,50,62,50
64,55,74,72,29,27,54,47,42,38,80,56,28,45,50,124,37,53,45,130,14,83,50,55,27,70,53
49,42,6,21,67,32,18,78,62,28,50,93,30,47,43,30,24,41,13,36,22,98,38,50,57,36,24
61,44,62,23,107,40,37,80,25,54,140,43,54,79,61,13,24,36,12,54,12,65,18,93,72,11,107
14,78,41,30,39,77,40,68,34,43,10,40,65,51,36,28,30,111,68,52,43,62,38,52,121,91,69
76,30,14,22,71,51,99,98,63,83,40,15,73,85,82,25,54,61,33,51,13,43,38,16,54,71,50
93,45,32,59,102,34,22,66,28,47,13,61,36,17,44,41,18,96,20,16,18,50,50,61,58,54,50
60,110,42,60,40,57,52,11,58,23,49,33,73,57,95,62,25,39,28,53,13,55,53,49,41,57,27
48,28,41,49,33,45,63,32,17,61,92,74,27,45,19,71,18,52,55,56,48,45,22,36,57,98,27
101,17,32,37,62,52,37,98,16,67,82,77,41,30,40,84,36,69,41,43,48,105,30,33,37,72,18
52,42,27,45,54,56,63,39,42,48,27,65,55,128,56,53,37,56,12,66,37,90,24,50,95,33,79
61,53,22,51,76,99,12,46,55,69,55,59,58,30,86,52,53,40,45,72,40,19,15,63,103,83,35
29,62,82,89,44,99,42,59,35,60,28,25,30,26,15,12,31,158,78,68,52,38,12,44,43,98,42
55,60,78,26,42,58,72,10,16,84,63,78,41,75,12,27,30,101,78,50,23,54,34,62,47,50,95
62,33,33,72,56,152,32,73,45,127,29,78,30,63,27,49,32,117,11,83,21,50,20,48,77,52,56
70,89,0,21,27,71,27,56,11,63,53,135,43,108,21,16,39,62,52,43,28,108,63,94,67,61,18
43,22,51,39,85,102,38,75,68,61,37,69,17,48,112,15,18,88,32,45,45,31,37,48,77,94,48
42,35,38,88,58,110,21,54,18,73,28,34,36,58,45,10,37,38,50,17,16,32,93,85,97,53,74
49,24,42,70,41,145,32,47,74,40,41,99,49,28,53,103,56,94,118,55,41,62,38,62,113,83,100
55,51,31,23,63,48,58,111,35,53,81,53,22,92,41,93,43,16,39,49,23,71,33,38,71,57,24
37,74,53,104,26,53,52,41,82,82,32,29,47,46,50,67,33,51,43,106,10,55,37,58,45,18,47
38,39,38,62,48,82,72,13,63,54,15,68,35,52,31,73,52,40,19,37,46,45,40,12,67,42,48
42,21,32,36,63,21,63,61,21,135,85,100,29,117,25,180,26,91,53,104,42,90,29,50,51,45,46
72,24,27,31,62,56,33,43,38,82,52,67,51,33,93,12,41,32,50,29,45,40,26,52,115,96,36
78,33,60,48,29,75,23,38,10,47,63,42,38,109,15,70,46,74,37,63,36,112,23,39,145,59,41
62,22,33,43,23,74,55,48,23,76,58,92,33,75,72,76,75,49,53,33,63,27,28,36,73,34,63
35,57,50,29,44,68,52,68,35,49,15,75,76,53,41,14,29,43,85,21,41,84,100,32,73,17,29
92,44,39,50,57,123,47,43,14,106,27,42,22,113,10,10,56,53,38,33,34,45,21,115,56,53,60
98,50,43,52,84,23,38,44,89,55,54,57,46,64,22,77,17,143,16,22,10,37,63,32,27,112,12
65,23,74,106,33,45,40,46,31,143,54,61,35,95,35,38,60,86,45,58,48,86,45,109,31,11,78
40,25,25,157,41,110,42,36,101,87,116,47,40,61,60,52,92,47,42,45,27,55,26,11,48,92,58
23,38,48,82,34,82,46,48,73,103,60,80,51,73,42,101,79,45,54,86,48,30,62,47,41,21,25
93,82,101,77,49,83,58,42,55,94,22,65,21,64,95,145,14,138,65,46,40,131,26,40,73,73,33
56,82,81,58,18,63,55,42,41,77,33,56,58,47,25,66,42,138,46,60,63,36,89,26,96,106,43
11,60,32,63,162,41,10,67,27,69,45,51,58,27,37,105,28,65,48,45,49,42,35,50,140,103,25
81,43,33,114,71,15,37,26,46,68,37,135,32,57,23,78,16,93,33,121,63,112,25,37,60,63,44
102,32,19,49,13,98,11,27,41,138,22,72,48,43,58,37,15,51,52,45,42,63,35,11,36,103,80
41,33,33,73,33,33,45,101,68,105,43,24,42,79,41,88,46,56,38,15,45,98,75,38,67,43,54
116,80,38,68,14,42,62,50,19,17,28,63,54,43,109,76,63,43,37,31,42,104,55,123,22,75,23
71,22,50,16,50,92,52,64,48,43,18,63,21,63,14,93,72,68,45,55,31,63,27,43,33,55,40
12,45,37,51,65,118,65,45,37,44,43,54,89,42,32,78,39,103,47,54,46,58,57,118,31,10,31
55,65,67,33,62,70,55,32,42,59,27,92,123,17,10,103,45,47,31,30,31,47,17,36,66,73,99
70,33,32,73,47,50,30,91,45,76,45,33,66,52,51,107,26,73,50,148,48,97,36,82,67,100,78
91,44,17,72,73,93,63,28,45,97,33,77,43,114,51,56,31,39,34,83,63,53,128,95,91,18,37
98,54,72,70,22,124,73,132,62,101,32,39,16,56,13,98,18,34,56,97,15,48,24,27,44,10,17
23,44,50,27,43,84,33,75,22,81,42,37,48,51,32,34,15,18,55,38,33,25,31,17,11,49,31
36,82,34,68,23,77,10,40,54,14,72,88,34,48,43,103,91,58,121,70,17,31,51,72,93,39,15
143,18,52,135,53,61,63,115,38,33,17,40,62,51,50,89,68,67,51,65,12,91,27,35,101,87,42
53,88,53,62,45,49,51,96,54,114,41,157,30,38,50,44,90,55,83,45,56,35,44,95,120,14,50
39,52,18,113,55,79,67,66,65,22,70,22,21,63,103,78,37,22,54,39,50,33,45,46,47,140,37
11,28,14,41,62,138,55,75,71,42,46,17,71,41,57,91,56,41,73,34,98,42,14,53,83,42,76
16,95,79,162,11,70,49,41,49,43,18,28,58,53,54,62,38,76,62,123,44,51,38,35,20,17,82
95,53,43,57,48,28,36,28,18,11,42,67,22,12,65,52,85,77,42,72,16,192,115,67,18,18,45
56,32,41,66,82,72,41,85,49,51,46,78,45,60,64,76,13,84,10,54,41,32,28,83,128,37,23
26,123,12,83,32,128,11,71,64,32,23,71,94,74,45,119,27,109,57,48,33,17,71,26,100,14,65
26,92,10,80,22,82,72,91,62,84,89,102,64,36,35,49,93,64,67,35,33,44,45,22,16,34,13
35,57,60,113,112,73,63,18,13,27,18,28,60,48,39,57,45,64,57,37,41,96,61,50,92,41,35
30,73,18,15,164,55,55,105,19,22,10,190,16,11,102,75,49,57,37,79,33,37,19,156,88,69,50
18,141,33,62,23,54,50,52,39,61,90,53,73,63,13,31,17,172,85,61,23,54,26,10,17,34,35
60,70,33,101,67,265,12,71,61,38,37,25,30,37,55,113,12,64,53,46,41,20,140,37,137,21,48
151,55,69,87,67,62,85,29,54,106,87,122,23,118,91,211,28,51,13,41,101,82,52,78,41,54,63
45,104,124,46,89,59,65,29,14,28,74,66,80,81,46,73,56,53,13,217,10,76,28,28,85,36,57
60,38,52,112,37,148,61,58,45,84,63,98,38,61,76,75,18,111,14,75,33,98,49,58,85,41,51
80,117,147,57,41,67,33,72,43,15,44,134,83,59,146,18,73,85,59,69,38,42,106,33,165,59,43
0,0,0,0,0,0,0,0,0,43,0,0,0,22,0,0,0,0,0,53,0,0,0,0,0,0,42
0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,130,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,42,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
